age,gender,income,days_as_member,total_completed,total_viewed,total_received,percent_completed,total_spent,avg_spent,num_transactions,completed_bogo,num_bogos,bogo_percent_completed,completed_discount,num_discounts,discount_percent_completed,single_link_cluster,cluster
55.0,1.0,112000.0,382.0,1.0,0.0,2.0,0.0,77.01,25.67,3.0,1.0,2.0,0.5,0.0,0.0,0.0,1,0
75.0,1.0,100000.0,449.0,3.0,4.0,4.0,0.75,159.27,22.752857142857145,7.0,3.0,9.0,0.3333333333333333,0.0,0.0,0.0,5,3
68.0,0.0,70000.0,97.0,2.0,3.0,4.0,0.5,57.73,19.243333333333336,3.0,1.0,3.0,0.3333333333333333,2.0,5.0,0.4,5,2
65.0,0.0,53000.0,173.0,5.0,6.0,6.0,0.8333333333333334,36.43,12.143333333333333,3.0,2.0,11.0,0.18181818181818185,2.0,6.0,0.3333333333333333,5,2
58.0,0.0,51000.0,263.0,1.0,2.0,3.0,0.3333333333333333,15.62,3.905,4.0,0.0,0.0,0.18181818181818185,2.0,5.0,0.4,5,1
61.0,1.0,57000.0,324.0,3.0,5.0,5.0,0.6,85.55,14.258333333333333,6.0,3.0,9.0,0.3333333333333333,1.0,2.0,0.5,5,2
26.0,0.0,46000.0,1630.0,1.0,1.0,6.0,0.16666666666666666,56.22,5.11090909090909,11.0,1.0,2.0,0.5,2.0,6.0,0.3333333333333333,5,2
62.0,1.0,71000.0,902.0,4.0,5.0,6.0,0.6666666666666666,160.25,20.03125,8.0,0.0,0.0,0.5,3.0,15.0,0.2,5,2
49.0,0.0,52000.0,1357.0,1.0,2.0,3.0,0.3333333333333333,144.11000000000004,16.012222222222224,9.0,1.0,3.0,0.3333333333333333,1.0,1.0,1.0,5,1
57.0,0.0,42000.0,213.0,2.0,1.0,5.0,0.4,19.1,3.1833333333333336,6.0,1.0,3.0,0.3333333333333333,2.0,4.0,0.5,5,1
61.0,1.0,40000.0,92.0,0.0,2.0,3.0,0.0,20.78,2.968571428571429,7.0,2.0,3.0,0.6666666666666666,0.0,0.0,0.0,5,3
40.0,1.0,71000.0,819.0,5.0,4.0,5.0,1.0,300.68,18.7925,16.0,0.0,0.0,0.6666666666666666,3.0,14.0,0.21428571428571427,5,2
64.0,0.0,100000.0,326.0,3.0,4.0,5.0,0.6,211.29,30.184285714285718,7.0,1.0,5.0,0.2,1.0,5.0,0.2,5,2
78.0,1.0,71000.0,411.0,1.0,6.0,6.0,0.16666666666666666,155.45999999999995,19.4325,8.0,1.0,2.0,0.5,1.0,3.0,0.3333333333333333,5,1
42.0,0.0,69000.0,1816.0,3.0,4.0,4.0,0.75,91.4,18.28,5.0,1.0,3.0,0.3333333333333333,1.0,6.0,0.16666666666666666,5,2
56.0,1.0,88000.0,95.0,4.0,6.0,6.0,0.6666666666666666,75.62,25.20666666666667,3.0,2.0,7.0,0.2857142857142857,2.0,9.0,0.2222222222222222,5,2
33.0,1.0,52000.0,309.0,1.0,3.0,6.0,0.16666666666666666,17.9,1.9888888888888887,9.0,1.0,1.0,1.0,4.0,9.0,0.4444444444444444,5,1
46.0,1.0,59000.0,324.0,0.0,1.0,4.0,0.0,2.88,2.88,1.0,1.0,2.0,0.5,1.0,2.0,0.5,5,1
59.0,0.0,41000.0,1288.0,2.0,5.0,6.0,0.3333333333333333,52.08,4.006153846153846,13.0,1.0,3.0,0.3333333333333333,2.0,6.0,0.3333333333333333,5,2
67.0,0.0,96000.0,1439.0,4.0,3.0,4.0,1.0,206.88,25.86,8.0,2.0,5.0,0.4,1.0,6.0,0.16666666666666666,5,2
53.0,2.0,52000.0,319.0,1.0,3.0,5.0,0.2,18.74,3.748,5.0,2.0,5.0,0.4,1.0,2.0,0.5,5,1
22.0,0.0,70000.0,310.0,4.0,6.0,6.0,0.6666666666666666,106.38,17.73,6.0,2.0,8.0,0.25,2.0,6.0,0.3333333333333333,5,2
96.0,1.0,89000.0,257.0,4.0,2.0,5.0,0.8,81.92,20.48,4.0,2.0,5.0,0.4,2.0,4.0,0.5,5,2
40.0,0.0,33000.0,753.0,1.0,4.0,6.0,0.16666666666666666,40.94,2.924285714285714,14.0,3.0,9.0,0.3333333333333333,0.0,0.0,0.0,5,2
69.0,1.0,57000.0,717.0,4.0,6.0,6.0,0.6666666666666666,213.49,15.249285714285715,14.0,3.0,12.0,0.25,0.0,0.0,0.0,5,2
56.0,0.0,68000.0,1543.0,2.0,2.0,3.0,0.6666666666666666,167.67000000000004,18.630000000000006,9.0,0.0,0.0,0.25,2.0,6.0,0.3333333333333333,5,2
26.0,1.0,63000.0,354.0,2.0,3.0,3.0,0.6666666666666666,73.38000000000002,3.4942857142857147,21.0,0.0,0.0,0.25,2.0,6.0,0.3333333333333333,5,2
75.0,0.0,40000.0,993.0,4.0,3.0,4.0,1.0,155.53,15.552999999999999,10.0,1.0,3.0,0.3333333333333333,2.0,8.0,0.25,5,2
20.0,1.0,30000.0,751.0,0.0,1.0,2.0,0.0,29.89,2.989,10.0,1.0,2.0,0.5,1.0,1.0,1.0,5,1
45.0,0.0,33000.0,25.0,3.0,5.0,5.0,0.6,61.25,7.65625,8.0,2.0,8.0,0.25,1.0,3.0,0.3333333333333333,5,2
61.0,0.0,98000.0,253.0,4.0,4.0,5.0,0.8,234.42999999999995,29.303749999999994,8.0,3.0,8.0,0.375,2.0,5.0,0.4,5,2
69.0,1.0,37000.0,1778.0,1.0,3.0,5.0,0.2,32.72,2.7266666666666666,12.0,2.0,5.0,0.4,2.0,4.0,0.5,5,2
54.0,1.0,80000.0,540.0,3.0,5.0,6.0,0.5,249.4,27.711111111111112,9.0,3.0,7.0,0.42857142857142855,1.0,3.0,0.3333333333333333,5,2
39.0,0.0,51000.0,1527.0,1.0,3.0,5.0,0.2,51.91000000000001,3.707857142857144,14.0,2.0,5.0,0.4,1.0,1.0,1.0,5,1
41.0,1.0,41000.0,1045.0,3.0,2.0,4.0,0.75,62.51,3.472777777777777,18.0,2.0,4.0,0.5,2.0,5.0,0.4,5,2
79.0,1.0,48000.0,1204.0,2.0,2.0,4.0,0.5,152.0,10.133333333333333,15.0,2.0,5.0,0.4,1.0,3.0,0.3333333333333333,5,2
66.0,1.0,38000.0,115.0,1.0,4.0,4.0,0.25,56.08,11.216,5.0,3.0,7.0,0.42857142857142855,0.0,0.0,0.0,5,3
56.0,1.0,52000.0,401.0,3.0,1.0,3.0,1.0,87.10999999999999,12.444285714285712,7.0,0.0,0.0,0.42857142857142855,2.0,7.0,0.2857142857142857,5,2
39.0,1.0,56000.0,1470.0,3.0,3.0,5.0,0.6,150.23000000000005,11.556153846153848,13.0,1.0,4.0,0.25,2.0,5.0,0.4,5,2
42.0,0.0,96000.0,927.0,4.0,4.0,4.0,1.0,320.48,26.70666666666667,12.0,1.0,3.0,0.3333333333333333,3.0,9.0,0.3333333333333333,5,2
78.0,1.0,93000.0,661.0,5.0,5.0,5.0,1.0,225.55,28.19375,8.0,3.0,9.0,0.3333333333333333,2.0,6.0,0.3333333333333333,5,2
45.0,0.0,48000.0,299.0,0.0,2.0,4.0,0.0,17.0,2.833333333333333,6.0,1.0,2.0,0.5,2.0,3.0,0.6666666666666666,5,1
29.0,0.0,50000.0,823.0,1.0,2.0,4.0,0.25,38.17,3.1808333333333327,12.0,0.0,0.0,0.5,3.0,5.0,0.6,5,2
44.0,0.0,35000.0,311.0,4.0,4.0,4.0,1.0,150.23,8.34611111111111,18.0,1.0,3.0,0.3333333333333333,2.0,9.0,0.2222222222222222,5,2
63.0,0.0,56000.0,19.0,3.0,3.0,3.0,1.0,121.62,13.513333333333332,9.0,1.0,3.0,0.3333333333333333,2.0,6.0,0.3333333333333333,5,2
36.0,0.0,56000.0,216.0,2.0,2.0,3.0,0.6666666666666666,118.85,16.978571428571428,7.0,0.0,0.0,0.3333333333333333,2.0,5.0,0.4,5,2
76.0,1.0,47000.0,140.0,1.0,3.0,5.0,0.2,22.65,3.775,6.0,1.0,4.0,0.25,2.0,4.0,0.5,5,1
68.0,0.0,87000.0,343.0,5.0,5.0,5.0,1.0,177.18,22.1475,8.0,2.0,9.0,0.2222222222222222,2.0,6.0,0.3333333333333333,5,2
75.0,0.0,52000.0,976.0,2.0,3.0,3.0,0.6666666666666666,135.54000000000002,12.321818181818184,11.0,1.0,3.0,0.3333333333333333,1.0,3.0,0.3333333333333333,5,2
67.0,0.0,76000.0,521.0,4.0,5.0,5.0,0.8,200.78,16.731666666666666,12.0,1.0,3.0,0.3333333333333333,2.0,9.0,0.2222222222222222,5,2
77.0,0.0,51000.0,732.0,0.0,4.0,5.0,0.0,23.81,2.1645454545454546,11.0,2.0,4.0,0.5,1.0,1.0,1.0,5,1
76.0,0.0,64000.0,1431.0,1.0,2.0,3.0,0.3333333333333333,110.92,13.865,8.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,5,1
57.0,0.0,98000.0,175.0,2.0,0.0,3.0,0.0,27.24,27.24,1.0,2.0,3.0,0.6666666666666666,1.0,2.0,0.5,5,1
53.0,1.0,72000.0,756.0,5.0,4.0,6.0,0.8333333333333334,167.88,18.65333333333333,9.0,2.0,6.0,0.3333333333333333,2.0,7.0,0.2857142857142857,5,2
53.0,1.0,117000.0,578.0,5.0,4.0,5.0,1.0,303.2000000000001,30.320000000000004,10.0,3.0,12.0,0.25,1.0,2.0,0.5,2,0
53.0,1.0,55000.0,279.0,1.0,3.0,5.0,0.2,20.18,2.5225,8.0,1.0,4.0,0.25,3.0,5.0,0.6,5,1
61.0,1.0,112000.0,264.0,2.0,5.0,5.0,0.4,67.25,33.625,2.0,0.0,0.0,0.25,3.0,10.0,0.3,1,0
67.0,1.0,77000.0,690.0,1.0,3.0,3.0,0.3333333333333333,155.73000000000005,19.46625,8.0,1.0,2.0,0.5,1.0,3.0,0.3333333333333333,5,1
58.0,1.0,85000.0,188.0,4.0,4.0,4.0,1.0,290.42,19.361333333333327,15.0,1.0,3.0,0.3333333333333333,2.0,9.0,0.2222222222222222,5,2
46.0,1.0,36000.0,33.0,0.0,3.0,5.0,0.0,17.130000000000006,3.4260000000000006,5.0,0.0,0.0,0.3333333333333333,2.0,6.0,0.3333333333333333,5,1
30.0,0.0,41000.0,242.0,0.0,2.0,2.0,0.0,11.95,2.9875,4.0,1.0,2.0,0.5,0.0,0.0,0.0,5,3
59.0,0.0,89000.0,346.0,2.0,4.0,6.0,0.3333333333333333,45.40000000000001,22.700000000000006,2.0,1.0,4.0,0.25,2.0,6.0,0.3333333333333333,5,1
51.0,0.0,41000.0,944.0,3.0,4.0,6.0,0.5,75.96000000000002,3.798000000000001,20.0,2.0,4.0,0.5,2.0,9.0,0.2222222222222222,5,2
27.0,0.0,35000.0,203.0,1.0,4.0,5.0,0.2,29.56,2.4633333333333334,12.0,1.0,2.0,0.5,2.0,4.0,0.5,5,1
40.0,0.0,53000.0,155.0,0.0,3.0,4.0,0.0,8.17,1.6340000000000001,5.0,1.0,4.0,0.25,0.0,0.0,0.0,5,3
73.0,1.0,91000.0,104.0,3.0,5.0,5.0,0.6,109.16,27.290000000000006,4.0,2.0,6.0,0.3333333333333333,2.0,5.0,0.4,5,1
74.0,1.0,107000.0,951.0,4.0,4.0,5.0,0.8,298.3,29.83,10.0,0.0,0.0,0.3333333333333333,2.0,12.0,0.16666666666666666,1,0
42.0,0.0,66000.0,984.0,2.0,2.0,3.0,0.6666666666666666,136.94,19.562857142857144,7.0,0.0,0.0,0.3333333333333333,2.0,5.0,0.4,5,2
78.0,0.0,58000.0,994.0,3.0,6.0,6.0,0.5,126.93999999999998,12.694,10.0,1.0,9.0,0.1111111111111111,0.0,0.0,0.0,5,2
54.0,1.0,53000.0,584.0,2.0,5.0,6.0,0.3333333333333333,57.03,3.168333333333333,18.0,2.0,7.0,0.2857142857142857,1.0,6.0,0.16666666666666666,5,2
70.0,1.0,74000.0,49.0,0.0,3.0,3.0,0.0,0.0,14.311214285714286,0.0,1.0,4.0,0.25,1.0,2.0,0.5,5,1
49.0,1.0,57000.0,480.0,3.0,5.0,5.0,0.6,184.78000000000003,18.477999999999998,10.0,2.0,6.0,0.3333333333333333,1.0,3.0,0.3333333333333333,5,1
